TaskID,Jitter,BCET,WCET,Period,Deadline,PE
0,0,130,1300,10000,10000,0
1,0,22,220,20000,20000,0
2,0,552,5520,100000,100000,0
3,0,202,2020,200000,200000,0
4,0,53,530,200000,200000,0
5,0,234,2340,200000,200000,0
6,0,98,980,200000,200000,0
7,0,371,3710,200000,200000,0
8,0,44,440,200000,200000,0
9,0,19,190,200000,200000,0
10,0,51,510,200000,200000,0
11,0,46,460,500000,500000,0
12,0,195,1950,1000000,1000000,0
13,0,43,430,1000000,1000000,0
14,0,18,180,1000000,1000000,0
15,0,12,120,1000000,1000000,0
16,0,51,519,1000000,1000000,0
17,0,41,410,1000000,1000000,0
18,0,10,100,2000000,2000000,0
