TaskID,Jitter,BCET,WCET,Period,Deadline,PE
0,0,71,716,10000,10000,0
1,0,20,208,10000,10000,0
2,0,131,1310,20000,20000,0
3,0,75,759,20000,20000,0
4,0,43,433,20000,20000,0
5,0,44,447,20000,20000,0
6,0,83,831,20000,20000,0
7,0,12,129,20000,20000,0
8,0,298,2981,30000,30000,0
9,0,43,432,30000,30000,0
10,0,112,1124,30000,30000,0
11,0,80,804,30000,30000,0
12,0,115,1152,30000,30000,0
13,0,10,106,40000,40000,0
14,0,260,2601,40000,40000,0
15,0,99,995,40000,40000,0
16,0,2,25,60000,60000,0
17,0,404,4049,80000,80000,0
18,0,9,91,80000,80000,0
19,0,645,6456,80000,80000,0
20,0,538,5381,80000,80000,0
21,0,47,477,90000,90000,0
22,0,600,6001,90000,90000,0
23,0,250,2506,90000,90000,0
24,0,26,262,90000,90000,0
