TaskID,Jitter,BCET,WCET,Period,Deadline,PE
0,0,130,1300,10000,10000,0
1,0,73,730,10000,10000,0
2,0,33,330,20000,20000,0
3,0,139,1390,50000,50000,0
4,0,15,150,100000,100000,0
5,0,236,2360,100000,100000,0
6,0,132,1320,100000,100000,0
7,0,44,440,100000,100000,0
8,0,18,180,100000,100000,0
9,0,270,2700,100000,100000,0
10,0,288,2880,100000,100000,0
11,0,151,1510,100000,100000,0
12,0,86,860,100000,100000,0
13,0,295,2950,100000,100000,0
14,0,252,2520,100000,100000,0
15,0,295,2950,100000,100000,0
16,0,285,2850,100000,100000,0
17,0,261,2610,100000,100000,0
18,0,40,400,100000,100000,0
19,0,148,1480,100000,100000,0
20,0,294,2940,100000,100000,0
21,0,57,579,100000,100000,0
22,0,220,2200,100000,100000,0
23,0,256,2560,100000,100000,0
24,0,228,2280,100000,100000,0
25,0,130,1300,100000,100000,0
26,0,297,2970,100000,100000,0
27,0,44,440,100000,100000,0
28,0,112,1129,100000,100000,0
29,0,214,2140,100000,100000,0
30,0,41,410,200000,200000,0
31,0,60,600,200000,200000,0
32,0,100,1000,200000,200000,0
33,0,75,750,200000,200000,0
34,0,23,230,200000,200000,0
35,0,36,360,200000,200000,0
36,0,61,610,200000,200000,0
37,0,95,950,200000,200000,0
38,0,120,1200,200000,200000,0
39,0,112,1120,200000,200000,0
40,0,104,1040,200000,200000,0
41,0,19,190,200000,200000,0
42,0,98,980,200000,200000,0
43,0,27,270,200000,200000,0
44,0,111,1110,200000,200000,0
45,0,10,100,200000,200000,0
46,0,22,220,200000,200000,0
47,0,65,650,200000,200000,0
48,0,77,770,200000,200000,0
49,0,79,790,200000,200000,0
50,0,12,129,1000000,1000000,0
51,0,72,720,1000000,1000000,0
52,0,80,800,1000000,1000000,0
53,0,76,760,1000000,1000000,0
54,0,55,550,1000000,1000000,0
55,0,81,810,1000000,1000000,0
56,0,48,480,1000000,1000000,0
57,0,72,720,1000000,1000000,0
58,0,45,450,1000000,1000000,0
59,0,32,320,1000000,1000000,0
60,0,17,170,1000000,1000000,0
61,0,67,670,1000000,1000000,0
62,0,85,850,1000000,1000000,0
63,0,78,780,1000000,1000000,0
64,0,93,930,1000000,1000000,0
65,0,59,599,1000000,1000000,0
66,0,46,460,1000000,1000000,0
67,0,51,519,1000000,1000000,0
68,0,20,200,1000000,1000000,0
