TaskID,Jitter,BCET,WCET,Period,Deadline,PE
0,0,5,52,10000,10000,0
1,0,5,55,10000,10000,0
2,0,2,29,10000,10000,0
3,0,4,49,10000,10000,0
4,0,0,4,10000,10000,0
5,0,20,208,10000,10000,0
6,0,7,73,20000,20000,0
7,0,6,66,20000,20000,0
8,0,44,449,20000,20000,0
9,0,45,453,30000,30000,0
10,0,11,118,30000,30000,0
11,0,7,77,30000,30000,0
12,0,50,501,30000,30000,0
13,0,20,207,40000,40000,0
14,0,194,1945,60000,60000,0
15,0,11,110,60000,60000,0
16,0,60,602,60000,60000,0
17,0,30,300,60000,60000,0
18,0,65,650,80000,80000,0
19,0,72,723,80000,80000,0
20,0,5,53,90000,90000,0
21,0,6,65,90000,90000,0
22,0,110,1108,90000,90000,0
23,0,47,474,90000,90000,0
24,0,15,152,90000,90000,0
