TaskID,Jitter,BCET,WCET,Period,Deadline,PE
0,0,2,29,10000,10000,0
1,0,9,90,10000,10000,0
2,0,1,11,10000,10000,0
3,0,22,222,10000,10000,0
4,0,4,43,10000,10000,0
5,0,9,94,20000,20000,0
6,0,45,458,20000,20000,0
7,0,39,396,20000,20000,0
8,0,35,356,30000,30000,0
9,0,15,158,30000,30000,0
10,0,0,4,30000,30000,0
11,0,88,886,40000,40000,0
12,0,9,97,40000,40000,0
13,0,3,33,60000,60000,0
14,0,44,449,60000,60000,0
15,0,0,6,60000,60000,0
16,0,25,259,60000,60000,0
17,0,88,887,80000,80000,0
18,0,77,778,80000,80000,0
19,0,24,248,80000,80000,0
20,0,33,330,90000,90000,0
21,0,79,797,90000,90000,0
22,0,27,277,90000,90000,0
23,0,130,1309,90000,90000,0
24,0,39,392,90000,90000,0
