TaskID,Jitter,BCET,WCET,Period,Deadline,PE
0,0,3,30,10000,10000,0
1,0,25,250,10000,10000,0
2,0,24,243,10000,10000,0
3,0,14,141,10000,10000,0
4,0,62,627,20000,20000,0
5,0,56,560,20000,20000,0
6,0,51,511,20000,20000,0
7,0,70,704,20000,20000,0
8,0,19,196,20000,20000,0
9,0,21,212,20000,20000,0
10,0,63,636,30000,30000,0
11,0,113,1134,30000,30000,0
12,0,85,856,30000,30000,0
13,0,19,192,30000,30000,0
14,0,3,32,30000,30000,0
15,0,79,796,50000,50000,0
16,0,38,385,50000,50000,0
17,0,1216,12167,60000,60000,0
18,0,28,281,60000,60000,0
19,0,383,3835,90000,90000,0
20,0,780,7806,90000,90000,0
21,0,47,470,90000,90000,0
22,0,825,8253,90000,90000,0
23,0,317,3178,90000,90000,0
24,0,43,437,90000,90000,0
