TaskID,Jitter,BCET,WCET,Period,Deadline,PE
0,0,13,131,10000,10000,0
1,0,61,614,10000,10000,0
2,0,1,19,10000,10000,0
3,0,9,99,20000,20000,0
4,0,5,59,20000,20000,0
5,0,64,642,20000,20000,0
6,0,8,86,20000,20000,0
7,0,46,466,30000,30000,0
8,0,22,229,30000,30000,0
9,0,11,112,40000,40000,0
10,0,12,125,40000,40000,0
11,0,43,435,40000,40000,0
12,0,2,26,40000,40000,0
13,0,124,1241,60000,60000,0
14,0,184,1845,60000,60000,0
15,0,150,1502,60000,60000,0
16,0,26,262,60000,60000,0
17,0,317,3170,80000,80000,0
18,0,155,1556,80000,80000,0
19,0,303,3033,80000,80000,0
20,0,68,684,80000,80000,0
21,0,41,411,80000,80000,0
22,0,242,2421,80000,80000,0
23,0,51,510,90000,90000,0
24,0,97,972,90000,90000,0
